id,name
4295,SUGT1
37066,PRKCH
4300,NUP43
4301,IL18BP
37069,NXF1
4313,CYB561A3
4315,FLOT2
4316,ANK3
37084,VHL
37087,GADD45GIP1
37090,FOXI1
4323,PDE3A
37093,SLC41A2
4328,GLS2
37100,CSNK2A1
37102,SPDYA
37104,GEMIN6
4341,JCHAIN
4342,ZNF611
4347,PNMA1
4348,ACBD6
4350,RNF125
4351,MNAT1
37119,WNK1
4354,RAD51D
37125,ANAPC5
37129,HCCS
37142,PRSS33
37146,MICU1
4379,USP10
4380,MYH15
4383,MED9
4384,OXT
37156,NADK
4390,AIP
4391,ZNF582
37161,FAM216A
4398,GCNA
37168,CENPU
4403,CNGA3
37172,FAXC
4405,ATP6V0E1
4408,SON
4409,MAGOH
37178,GRWD1
37181,LILRA1
4413,WDR53
37189,GLRX5
37190,MRPL13
37191,GPR18
4431,LTBP3
37199,RPS4X
37201,ZNF200
37202,ATP11A
4435,FGD6
37206,FXYD3
4439,RUFY3
37215,ZRANB2
4453,MTMR2
4454,ANKRD17
37227,KIF7
37229,CLU
4468,CTPS2
4469,SKP1
4470,BRIP1
4472,CUL5
4473,PLA2G15
37243,WEE2
4478,PSMB2
37246,SCAMP3
4481,ACADL
4482,NEBL
37261,GPR183
37265,KDM6B
37268,PGK1
37273,ZBTB12
4507,DDX20
37276,ARHGAP23
4509,ADAMTS18
4510,SH2B1
37290,LAS1L
37292,ADGRE5
37296,SRPK2
37299,MMP17
37302,MOK
37305,SGSH
37306,SAE1
37312,TMBIM1
37313,WDR1
4551,EXT1
4556,CREB1
37326,PDCD11
4558,GMNN
37328,TSTD1
4561,PAK5
37330,SLC38A4
4564,PHACTR4
4573,FTO
4575,BRMS1
37343,CARD18
37344,BTAF1
4580,CDKL3
4584,USP8
4585,TUBB
4587,ATP1B1
37356,HTR4
4589,RPL39
4590,DEFB129
37361,RUNX1
37368,SOAT1
37378,MRPL19
4614,GGPS1
37382,PPP1R3E
37390,LTBP2
37394,KDM6A
4627,DPPA3
37396,FBH1
4628,SPTLC3
37398,NPHS1
4626,ITPK1
37397,TTC12
